"","Prolific_ID","trial_type_label","test_part","skew","rt_trial","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","EVD","SDD","category","true_response"
"52","5c8123c4366cb20001280842","test","cs","ns",2949,0.45,182,0.55,39,0.4,188,0.6,63,-9.64999999999999,9.90435818354387,"simple vs. complex","j"
"53","5c8123c4366cb20001280842","test","sc","rl",2937,0.81,66,0.19,108,0.13,68,0.87,87,-10.55,10.0868727526797,"simple vs. complex","f"
"54","5c8123c4366cb20001280842","test","cs","ns",3508,0.44,89,0.56,41,0.54,60,0.46,43,9.94,15.353817060126,"simple vs. complex","j"
"55","5c8123c4366cb20001280842","test","cs","cn",2981,0.91,52,0.09,18,0.14,62,0.86,47,20,0,"simple vs. complex","j"
"56","5c8123c4366cb20001280842","test","cs","lr",2630,0.83,60,0.17,9,0.96,58,0.04,130,-9.55,5.0482118519817,"simple vs. complex","j"
"57","5c8123c4366cb20001280842","test","cs","cn",2675,0.87,97,0.13,38,0.84,87,0.16,100,20,0,"simple vs. complex","j"
"58","5c8123c4366cb20001280842","test","sc","lr",2588,0.86,95,0.14,9,0.16,159,0.84,92,-19.76,5.27827898042035,"simple vs. complex","f"
"59","5c8123c4366cb20001280842","test","sc","rl",1996,0.82,89,0.18,195,0.12,46,0.88,127,-9.20000000000002,14.4019857190524,"simple vs. complex","f"
"60","5c8123c4366cb20001280842","test","sc","ns",2030,0.36,84,0.64,12,0.54,20,0.46,80,-9.68000000000001,4.65615409349493,"simple vs. complex","f"
"61","5c8123c4366cb20001280842","test","sc","ns",3290,0.37,119,0.63,16,0.45,87,0.55,8,10.56,10.4268399771305,"simple vs. complex","f"
"62","5c8123c4366cb20001280842","test","cs","ns",2782,0.41,19,0.59,124,0.37,13,0.63,89,20.07,14.9493696130005,"simple vs. complex","j"
"63","5c8123c4366cb20001280842","test","sc","lr",2179,0.83,91,0.17,46,0.07,108,0.93,60,19.99,4.6564191846075,"simple vs. complex","f"
"64","5c8123c4366cb20001280842","test","cs","lr",3667,0.86,79,0.14,27,0.89,69,0.11,96,-0.25,9.59530219834588,"simple vs. complex","j"
"65","5c8123c4366cb20001280842","test","sc","rl",3132,0.87,75,0.13,149,0.84,89,0.16,61,0.100000000000009,14.6214845900833,"simple vs. complex","f"
"66","5c8123c4366cb20001280842","test","cs","ns",4525,0.53,189,0.47,20,0.39,22,0.61,165,0.340000000000003,14.599522025011,"simple vs. complex","j"
"67","5c8123c4366cb20001280842","test","cs","rl",3605,0.87,75,0.13,149,0.84,89,0.16,61,0.100000000000009,14.6214845900833,"simple vs. complex","j"
"68","5c8123c4366cb20001280842","test","cs","cn",2917,0.82,98,0.18,11,0.12,143,0.88,85,-20,0,"simple vs. complex","j"
"69","5c8123c4366cb20001280842","test","sc","lr",2292,0.87,107,0.13,3,0.17,157,0.83,104,-19.53,15.067018810012,"simple vs. complex","f"
"70","5c8123c4366cb20001280842","test","cs","rl",2248,0.86,52,0.14,116,0.89,66,0.11,28,-0.859999999999999,10.3173592494656,"simple vs. complex","j"
"71","5c8123c4366cb20001280842","test","cs","ns",1924,0.6,65,0.4,13,0.57,78,0.43,47,-20.47,10.1273450197817,"simple vs. complex","j"
"72","5c8123c4366cb20001280842","test","sc","rl",2564,0.18,170,0.82,94,0.12,38,0.88,95,19.52,10.6754389601238,"simple vs. complex","f"
"73","5c8123c4366cb20001280842","test","cs","lr",2099,0.81,134,0.19,48,0.13,189,0.87,118,-9.56999999999998,9.86033397946848,"simple vs. complex","j"
"74","5c8123c4366cb20001280842","test","sc","ns",2202,0.58,24,0.42,82,0.57,57,0.43,84,-20.25,15.2593481178216,"simple vs. complex","f"
"75","5c8123c4366cb20001280842","test","sc","rl",2608,0.91,97,0.09,134,0.14,87,0.86,103,-0.430000000000007,5.03693263240091,"simple vs. complex","f"
"76","5c8123c4366cb20001280842","test","cs","ns",2266,0.62,180,0.38,23,0.56,159,0.44,26,19.86,10.1862079082615,"simple vs. complex","j"
"77","5c8123c4366cb20001280842","test","cs","ns",2453,0.62,47,0.38,155,0.44,121,0.56,26,20.24,5.26497609512484,"simple vs. complex","j"
"78","5c8123c4366cb20001280842","test","sc","lr",1991,0.86,79,0.14,27,0.89,69,0.11,96,-0.25,9.59530219834588,"simple vs. complex","f"
"79","5c8123c4366cb20001280842","test","cs","rl",3780,0.81,66,0.19,108,0.13,68,0.87,87,-10.55,10.0868727526797,"simple vs. complex","j"
"80","5c8123c4366cb20001280842","test","sc","rl",3707,0.83,115,0.17,197,0.07,17,0.93,116,19.87,5.54233492452575,"simple vs. complex","f"
