Unnamed: 0,P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EVA,EVB,EVD,SDA,SDB,SDD,skewness_a,skewness_b,skewness_diff,evd_bins,sdd_bins,skew,original_EVA,original_SDA,original_skewness_A,new_OA1,new_PA1,new_OA2,new_PA2,new_OA3,new_PA3,new_OA4,new_PA4,new_OA5,new_PA5,new_OA6,new_PA6,new_OA7,new_PA7,new_EVA,new_SDA,new_skewness_A,original_EVB,original_SDB,original_skewness_B,new_OB1,new_PB1,new_OB2,new_PB2,new_OB3,new_PB3,new_OB4,new_PB4,new_OB5,new_PB5,new_OB6,new_PB6,new_OB7,new_PB7,new_EVB,new_SDB,new_skewness_B,original_EVD,original_SDD,original_skewness_D,new_EVD,new_SDD,new_skewness_D,EUA,EUB,EUA_simple,EUB_simple,EUD_CC,EUD_SC,EUD_CS,EUD_SS,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS,Skewness_cs_diff_a,Skewness_cs_diff_b
24,0.07,175,0.93,128,0.9,113,0.1,91,131.29,110.8,20.49,11.9919097728427,6.6,5.39190977284269,3.37060574717951,-2.66666666666655,6.03727241384606,19 to 21,4 to 6,rl,131.29000000000002,11.991909772842689,3.3706057471795132,178,0.04,151,0.1,140,0.02,131,0.23,129,0.16,127,0.22,120,0.22999999999999998,131.33,12.722464383915561,2.178309324835135,110.8,6.6000000000000005,-2.6666666666665457,120,0.17,114,0.2,112,0.13,110,0.18,108,0.27,94,0.03,72,0.02,110.97999999999999,7.576252371720467,-2.7785896998411617,20.490000000000023,5.391909772842689,6.037272413846059,20.350000000000023,5.146212012195094,4.9568990246762965,134.38220755712425,108.05091514634472,135.7824487517795,107.97699720227689,26.331292410779525,27.731533605434777,26.405210354847355,27.805451549502607,5.841292410779527,5.915210354847357,7.241533605434778,7.315451549502608,1.1922964223443784,0.11192303317461594
90,0.03,153,0.97,64,0.88,48,0.12,29,66.67,45.72,20.95,15.1822626772165,6.17426918752333,9.00799348969313,5.51037758854918,-2.33873832860733,7.84911591715651,19 to 21,9 to 11,rl,66.67,15.182262677216464,5.51037758854918,141,0.02,99,0.07,69,0.34,64,0.14,62,0.09,60,0.18,52,0.16,66.87,15.194508876564587,2.8147728699507475,45.72,6.174269187523329,-2.3387383286073264,53,0.26,49,0.16,47,0.11,45,0.13,43,0.23,36,0.08,15,0.03000000000000001,45.86000000000001,7.300712294016249,-2.2205153075049284,20.950000000000003,9.007993489693135,7.849115917156507,21.009999999999998,7.893796582548338,5.035288177455676,71.61816692366855,42.933596104848476,74.65192800485964,43.20190746848586,28.684570818820077,31.718331900011165,28.416259455182697,31.450020536373785,7.734570818820078,7.466259455182698,10.768331900011166,10.500020536373786,2.6956047185984326,-0.11822302110239802
64,0.11,133,0.89,63,0.96,62,0.04,23,70.7,60.44,10.26,21.9022829860268,7.64240799748352,14.2598749885433,2.49289081119232,-4.69485534033444,7.18774615152676,9 to 11,14 to 16,rl,70.7,21.902282986026822,2.4928908111923196,151,0.02,120,0.07,97,0.06,80,0.16,70,0.23,61,0.15,50,0.31,70.78999999999999,22.393880860627977,1.5085583514573604,60.44,7.642407997483516,-4.694855340334441,67,0.18,64,0.23,62,0.24,60,0.2,56,0.09,41,0.04,13,0.02,60.599999999999994,8.55336191213724,-3.8514586389085017,10.260000000000005,14.259874988543306,7.187746151526761,10.189999999999998,13.840518948490738,5.360016990365862,75.27992790611734,56.34824334108592,77.01870155117342,56.67735640657332,18.931684565031418,20.670458210087503,18.60257149954402,20.341345144600105,8.671684565031418,8.34257149954402,10.410458210087503,10.081345144600105,0.9843324597349592,-0.8433967014259394
74,0.08,187,0.92,122,0.98,119,0.02,32,127.2,117.26,9.94000000000001,17.6340579561257,12.18,5.4540579561257,3.0962810792529,-6.85714285714288,9.95342393639578,9 to 11,4 to 6,rl,127.20000000000002,17.634057956125698,3.0962810792529036,196,0.03,165,0.04,139,0.25,131,0.02,124,0.18,119,0.32,106,0.16,127.21000000000001,18.15284826136108,1.7762712947825319,117.26,12.18,-6.857142857142874,126,0.16,121,0.23,119,0.26,117,0.13,113,0.18,82,0.02,44,0.02000000000000001,117.00000000000001,12.314219423089718,-4.560483715748122,9.940000000000012,5.454057956125698,9.953423936395778,10.209999999999994,5.838628838271362,6.336755010530654,130.64473749071811,110.91887154476163,133.36850570486615,111.01932660261372,19.725865945956485,22.449634160104523,19.625410888104398,22.349179102252435,9.785865945956475,9.685410888104387,12.509634160104513,12.409179102252425,1.3200097844703718,-2.296659141394752
45,0.04,185,0.96,93,0.97,89,0.03,45,96.68,87.68,9.00000000000001,18.0282445068842,7.50583772806207,10.5224067788221,4.69485534033448,-5.51037758854905,10.2052329288835,9 to 11,9 to 11,rl,96.68,18.028244506884192,4.694855340334481,165,0.05,137,0.02,112,0.07,98,0.25,93,0.09,90,0.36,79,0.16,96.74,18.70968733036445,2.5115081380225686,87.67999999999999,7.505837728062072,-5.510377588549049,94,0.23,92,0.09,90,0.12,88,0.15,86,0.17,83,0.22,42,0.02,87.62,7.652163092877726,-4.134047806590887,9.000000000000014,10.52240677882212,10.205232928883529,9.11999999999999,11.057524237486724,6.645555944613456,101.28029641988776,84.21225443581766,105.24571047032012,83.9040071372113,17.068041984070106,21.033456034502464,17.376289282676467,21.341703333108825,8.068041984070096,8.376289282676456,12.033456034502453,12.341703333108814,2.1833472023119125,-1.3763297819581615
111,0.9,80,0.1,14,0.13,88,0.87,71,73.4,73.21,0.189999999999998,19.8,5.71715838507208,14.0828416149279,-2.66666666666667,2.20039382376524,-4.86706049043191,-1 to 1,14 to 16,lr,73.4,19.8,-2.6666666666666674,92,0.27,80,0.37,74,0.13,66,0.07,54,0.02,41,0.04,22,0.09999999999999978,73.6,20.66591396478751,-1.5326311175670788,73.21000000000001,5.717158385072081,2.2003938237652423,103,0.03,86,0.04,77,0.18,75,0.23,73,0.08,71,0.15,67,0.29,73.56,6.94884163008483,2.283232054705422,0.18999999999999773,14.082841614927919,-4.86706049043191,0.03999999999999204,13.71707233470268,-3.8158631722725005,66.5990876969816,75.32586024387605,64.93099160683067,74.66665808071328,-8.726772546894452,-10.394868637045377,-8.067570383731677,-9.735666473882603,-8.91677254689445,-8.257570383731675,-10.584868637045375,-9.9256664738826,-1.1340355490995886,-0.08283823094017961
196,0.89,164,0.11,125,0.1,184,0.9,158,159.71,160.6,-0.890000000000015,12.2027005207864,7.8,4.40270052078637,-2.49289081119237,2.66666666666689,-5.15955747785925,-1 to 1,4 to 6,lr,159.71,12.202700520786372,-2.492890811192367,173,0.26,164,0.19,161,0.15,158,0.12,152,0.21,131,0.05,103,0.02000000000000001,159.78,12.962700335963955,-1.9913054114766846,160.60000000000002,7.8,2.6666666666668877,196,0.04,179,0.02,167,0.09,162,0.22,160,0.26,158,0.08,153,0.29000000000000004,160.7,8.853812738024224,2.551656262529575,-0.8900000000000148,4.4027005207863725,-5.159557477859255,-0.9199999999999875,4.108887597939731,-4.54296167400626,154.60625036857223,163.0419088575003,154.61320742065828,162.99622954938468,-8.435658488928055,-8.428701436842005,-8.389979180812446,-8.383022128726395,-7.545658488928041,-7.499979180812431,-7.53870143684199,-7.4930221287263805,-0.5015853997156825,0.11501040413731278
197,0.96,127,0.04,34,0.09,153,0.91,121,123.28,123.88,-0.599999999999994,18.2242036863068,9.15781633360268,9.06638735270417,-4.69485534033442,2.86531188703977,-7.56016722737418,-1 to 1,9 to 11,lr,123.28,18.224203686306844,-4.694855340334415,138,0.24,130,0.25,126,0.17,121,0.2,107,0.07,83,0.02,55,0.04999999999999979,123.13999999999999,18.69974331374629,-2.5289212607779405,123.88,9.157816333602678,2.8653118870397676,161,0.05,144,0.02,130,0.09,125,0.18,123,0.25,121,0.17,115,0.24,124.04999999999998,10.054227966383097,2.476794394856084,-0.5999999999999943,9.066387352704165,-7.560167227374183,-0.9099999999999966,8.645515347363192,-5.005715655634025,115.18112694946436,126.46919044359912,114.30754220029021,126.87934231105302,-11.28806349413476,-12.161648243308903,-11.698215361588666,-12.571800110762808,-10.688063494134767,-11.098215361588672,-11.561648243308909,-11.971800110762814,-2.1659340795564748,0.38851749218368337
186,0.91,145,0.09,74,0.04,171,0.96,148,138.61,148.92,-10.31,20.3189049901809,4.50706112672105,15.8118438634599,-2.86531188703996,4.69485534033272,-7.56016722737268,-11 to -9,14 to 16,lr,138.61,20.318904990180943,-2.86531188703996,158,0.28,148,0.12,142,0.25,134,0.18,121,0.07,101,0.03,78,0.06999999999999977,138.57999999999998,21.06759597106417,-1.6460237138987108,148.92,4.507061126721048,4.694855340332716,178,0.03,151,0.27,149,0.24,147,0.18,145,0.2,143,0.02,141,0.06,148.65,5.887911344441252,3.532219743225222,-10.309999999999974,15.811843863459895,-7.560167227372676,-10.070000000000022,15.179684626622915,-5.178243457123933,131.0011367568419,150.2832237159158,129.7103551685568,151.06142761758002,-19.282086959073894,-20.572868547359008,-20.06029086073812,-21.351072449023235,-8.972086959073893,-9.75029086073812,-10.262868547359007,-11.041072449023234,-1.219288173141249,1.1626355971074944
146,0.91,161,0.09,115,0.12,187,0.88,164,156.86,166.76,-9.90000000000001,13.1643609795538,7.47411533226508,5.69024564728877,-2.86531188703981,2.33873832860721,-5.20405021564703,-11 to -9,4 to 6,lr,156.85999999999999,13.16436097955385,-2.865311887039814,170,0.25,162,0.17,159,0.14,157,0.12,152,0.24,133,0.02,111,0.06,156.94,13.839667626066747,-2.0901399551497577,166.76,7.474115332265083,2.3387383286072123,199,0.04,179,0.06,169,0.22,167,0.2,165,0.17,163,0.13,157,0.1799999999999999,166.78,8.437511481473669,2.1200593096961207,-9.900000000000006,5.690245647288767,-5.204050215647026,-9.840000000000003,5.402156144593079,-4.210199264845878,151.77499994630065,168.4427470125279,151.09403292610722,168.78617652534587,-16.667747066227236,-17.34871408642067,-17.011176579045213,-17.692143599238648,-6.767747066227226,-7.111176579045203,-7.448714086420662,-7.7921435992386385,-0.7751719318900565,0.21867901891109165
184,0.97,162,0.03,71,0.1,187,0.9,168,159.27,169.9,-10.63,15.5234371194011,5.7,9.8234371194011,-5.51037758854891,2.66666666666647,-8.17704425521537,-11 to -9,9 to 11,lr,159.26999999999998,15.523437119401104,-5.510377588548908,176,0.11,166,0.18,164,0.22,161,0.28,153,0.13,128,0.04,95,0.0399999999999999,159.21,15.941954083486742,-2.772667672547534,169.9,5.7,2.6666666666664667,200,0.03,179,0.08,173,0.12,171,0.13,169,0.17,167,0.22,164,0.25,169.78,6.7669490909862775,2.7166704210892165,-10.630000000000024,9.823437119401103,-8.177044255215375,-10.569999999999993,9.175004992500465,-5.48933809363675,152.71749797757937,171.81107360260194,151.46056021559608,171.65109082455035,-19.093575625022567,-20.35051338700586,-18.93359284697098,-20.190530608954276,-8.463575625022566,-8.30359284697098,-9.72051338700586,-9.560530608954275,-2.7377099160013745,-0.050003754422749846
151,0.93,107,0.07,29,0.04,142,0.96,120,101.54,120.88,-19.34,19.90146728259,4.31110194729839,15.5903653352916,-3.37060574717937,4.6948553403343,-8.06546108751367,-21 to -19,14 to 16,lr,101.54,19.901467282589994,-3.370605747179368,119,0.31,111,0.15,106,0.06,101,0.27,88,0.11,66,0.03,41,0.07,101.7,20.586160399647138,-1.7850102112819386,120.88,4.311101947298394,4.694855340334297,155,0.02,132,0.03,124,0.15,122,0.25,120,0.2,118,0.22,116,0.13,121.2,5.808614292583043,4.019070132712568,-19.33999999999999,15.590365335291601,-8.065461087513665,-19.5,14.777546107064095,-5.804080343994507,93.92319867945807,123.47251456848987,92.40082372050074,122.92832206898959,-29.549315889031803,-31.07169084798913,-29.00512338953152,-30.527498348488848,-10.209315889031803,-9.66512338953152,-11.731690847989132,-11.187498348488848,-1.5855955358974294,0.675785207621729
121,0.93,125,0.07,69,0.03,192,0.97,139,121.08,140.59,-19.51,14.2882329208338,9.04112271789295,5.24711020294089,-3.37060574717933,5.51037758854834,-8.88098333572768,-21 to -19,4 to 6,lr,121.08,14.288232920833844,-3.3706057471793316,133,0.3,126,0.23,123,0.13,119,0.09,113,0.18,92,0.02,67,0.05000000000000001,121.10999999999999,14.965223018719099,-2.3808405670588866,140.58999999999997,9.04112271789295,5.510377588548345,195,0.02,160,0.05,143,0.23,141,0.1,139,0.15,137,0.2,135,0.25,140.89,9.490937782959069,4.042228397740471,-19.509999999999977,5.247110202940894,-8.880983335727677,-19.78,5.47428523576003,-6.4230689647993575,114.8405403752095,145.07540030138998,114.51854010702618,145.34328296918608,-30.234859926180476,-30.556860194363793,-30.502742593976578,-30.824742862159894,-10.724859926180475,-10.992742593976576,-11.046860194363791,-11.314742862159893,-0.989765180120445,1.4681491908078739
167,0.97,125,0.03,40,0.11,156,0.89,141,122.45,142.65,-20.2,14.4999137928472,4.6933463541486,9.80656743869858,-5.51037758854918,2.4928908111929,-8.00326839974209,-21 to -19,9 to 11,lr,122.45,14.499913792847185,-5.510377588549181,138,0.11,128,0.39,126,0.09,124,0.15,117,0.19,91,0.04,55,0.03,122.56,14.892494754069917,-3.048574225008484,142.65,4.693346354148605,2.4928908111929027,173,0.02,152,0.06,145,0.21,143,0.3,141,0.16,139,0.1,135,0.15000000000000002,142.64000000000001,5.950663828515269,2.5590437277865683,-20.200000000000003,9.806567438698579,-8.003268399742083,-20.080000000000013,8.941830925554648,-5.607617952795053,116.1776898742365,144.15777965211194,115.15546833324909,144.00400747525146,-27.980089777875435,-29.00231131886285,-27.82631760101495,-28.848539142002366,-7.780089777875435,-7.62631760101495,-8.802311318862852,-8.648539142002367,-2.461803363540697,-0.06615291659366562
153,0.95,158,0.05,20,0.13,169,0.87,126,151.1,131.59,19.51,30.0764027104306,14.4610476798882,15.6153550305424,-4.12948320967011,2.20039382376516,-6.32987703343527,19 to 21,14 to 16,lr,151.1,30.07640271043065,-4.129483209670111,182,0.21,166,0.23,154,0.31,137,0.06,116,0.12,86,0.03,53,0.04,150.98000000000002,30.430570155683906,-1.564970454372746,131.59,14.461047679888203,2.200393823765163,189,0.03,165,0.05,149,0.06,139,0.09,133,0.16,128,0.26,119,0.35000000000000003,131.58,15.393622055903544,1.9715033653880352,19.50999999999999,15.615355030542446,-6.329877033435274,19.400000000000006,15.036948099780362,-3.536473819760781,139.9162641008829,135.43234113906456,136.62599518858445,135.27448808651005,4.483922961818337,1.1936540495198926,4.6417760143728515,1.3515071020744074,-15.026077038181665,-14.86822398562715,-18.31634595048011,-18.158492897925594,-2.5645127552973648,0.22889045837712763
143,0.96,111,0.04,19,0.08,134,0.92,83,107.32,87.08,20.24,18.0282445068842,13.8359531655755,4.19229134130864,-4.69485534033444,3.09628107925281,-7.79113641958725,19 to 21,4 to 6,lr,107.32000000000001,18.02824450688419,-4.694855340334444,135,0.06,118,0.21,112,0.3,108,0.27,94,0.09,69,0.02,40,0.05,107.47999999999998,18.668947479705437,-2.3362008509449232,87.08,13.835953165575548,3.09628107925281,149,0.03,120,0.02,95,0.22,87,0.23,84,0.16,80,0.26,64,0.08,87.14,14.410426780633529,2.281435905763175,20.24000000000001,4.192291341308641,-7.791136419587254,20.339999999999975,4.258520699071909,-4.617636756708098,101.15751637078229,89.89738806012461,98.4440202411473,91.91990447612574,11.260128310657677,8.546632181022687,9.237611894656553,6.524115765021563,-8.979871689342321,-11.002388105343446,-11.693367818977311,-13.715884234978436,-2.3586544893895205,0.8148451734896351
152,0.96,142,0.04,9,0.06,184,0.94,113,136.68,117.26,19.42,26.062570863213,16.8615657635938,9.20100509961917,-4.69485534033445,3.70546845269267,-8.40032379302713,19 to 21,9 to 11,lr,136.68,26.062570863213015,-4.694855340334454,183,0.03,157,0.28,147,0.16,138,0.24,121,0.21,89,0.02,55,0.06,136.58,26.359506823914593,-1.635701277076375,117.25999999999999,16.86156576359384,3.7054684526926724,168,0.08,144,0.02,122,0.29,117,0.05,113,0.13,110,0.22,100,0.21,117.44,17.414545644374417,1.8037565658762251,19.420000000000016,9.201005099619174,-8.400323793027127,19.140000000000015,8.944961179540176,-3.4394578429526,129.06789613701184,120.02371533087471,123.84842056600642,124.05148161911038,9.044180806137135,3.8247052351317166,5.016414517901467,-0.2030610531039514,-10.375819193862867,-14.403585482098535,-15.595294764868285,-19.623061053103953,-3.059154063258079,1.9017118868164473
162,0.9,172,0.1,100,0.09,176,0.91,152,164.8,154.16,10.64,21.6,6.86836225020201,14.731637749798,-2.66666666666669,2.86531188703992,-5.53197855370661,9 to 11,14 to 16,lr,164.8,21.6,-2.666666666666689,185,0.3,172,0.31,164,0.1,155,0.04,143,0.19,116,0.03,87,0.03000000000000001,164.67999999999998,22.038548046547895,-1.5747858247760316,154.16,6.868362250202009,2.8653118870399226,190,0.03,173,0.02,161,0.06,156,0.14,154,0.34,152,0.21,146,0.2,154.14000000000001,7.951125706464462,2.840661226183581,10.640000000000015,14.731637749797994,-5.531978553706612,10.539999999999964,14.087422340083432,-4.415447050959613,156.20562256612186,156.37496234601034,155.5610817529062,156.40950673328976,-0.1693397798884746,-0.8138805931041304,-0.20388416716789948,-0.8484249803835553,-10.809339779888475,-10.8438841671679,-11.453880593104131,-11.488424980383556,-1.0918808418906576,0.02465066085634149
